Episode,Reward,Actor Loss,Critic Loss
1,-1084.9611703200724,0.03449181589239743,16.03935945510864
2,-1472.1036094549854,0.706920358389616,50.86755815505981
3,-1571.8889238697595,2.508608351945877,61.10689275741577
4,-1407.0848837843105,5.618867443799973,62.24466814041138
5,-1532.3684355558014,9.810097062587738,61.47769651412964
6,-1338.222640043746,14.360092468261719,57.77375709533691
7,-1748.172155342999,19.53420177936554,55.83043758392334
8,-1802.0205179157508,25.185019969940186,57.582256660461425
9,-1750.055536731246,31.724285163879394,59.19237632751465
10,-1423.82152397286,38.37774627685547,62.05679597854614
11,-1836.0544912348603,46.21642305374146,68.4315782546997
12,-1900.0420461247288,54.54986671447754,82.09376525878906
13,-1775.632836850976,63.96412000656128,92.49712867736817
14,-1888.366616747854,74.46985153198243,109.33697093963623
15,-1663.4865486384454,86.44623790740967,127.05027957916259
16,-1780.4133155104853,99.53975452423096,150.85631561279297
17,-1480.573835325271,113.6389898300171,175.37796699523926
18,-1667.3455710588148,130.86655982971192,207.16598030090333
19,-1559.5926715029923,149.0490843963623,250.97088390350342
20,-1597.1971035051931,166.82123672485352,305.46933712005614
21,-1621.6627716668202,186.6183002471924,361.06852081298825
22,-1531.9815671018805,208.3463919067383,440.1246110534668
23,-1670.7796313303186,227.73911888122558,526.062904586792
24,-1556.005949305426,247.79008163452147,553.3093161010743
25,-1211.0799008799556,268.4946516418457,707.7889773559571
26,-1191.3009099020874,288.7921401977539,770.4464199829101
27,-1655.9345326435969,305.02162734985353,911.7895274353027
28,-1641.863704584429,314.1707319641113,898.7638230895996
29,-1394.7704766293064,328.7376370239258,1074.5828419494628
30,-1511.1102318305611,340.3251187133789,1150.8924020385741
31,-1642.7398906418332,351.04891876220705,1121.593740234375
32,-1575.8265311876833,358.35674072265624,1280.9773234558106
33,-1186.2771625376547,361.3636622619629,1258.5106358337403
34,-1625.0174878457306,365.4738639831543,1132.0421905517578
35,-1176.065097819406,369.07490509033204,1313.8722160339355
36,-1392.9322769080836,371.58272689819336,1250.5491160583497
37,-1568.7071014731082,375.1394841003418,1377.853420715332
38,-1563.713327404482,375.91615173339846,1445.0805885314942
39,-1451.8025730794543,374.5338917541504,1325.3607894897461
40,-1506.9449680378932,375.91696670532224,1386.9137484741211
41,-1605.84777732255,375.4618682861328,1393.288472595215
42,-1628.9140414784586,373.4698754882813,1316.1791647338866
43,-1635.6882017968685,370.03413497924805,1344.8149591064453
44,-1639.4591036004024,367.3526266479492,1304.2354135131836
45,-1521.9793561059757,369.35205444335935,1273.78358001709
46,-1597.19265271106,374.4197998046875,1399.1621919250488
47,-1500.2108594081985,370.50097091674803,1379.267836456299
48,-1485.1586421389268,366.6135122680664,1392.6388224792481
49,-1504.3197762885181,364.63583892822265,1264.4735145568848
50,-1616.2446828615384,361.7212498474121,1194.3540295410157
51,-1432.0709240409037,363.1123056030273,1176.2084146118164
52,-1607.5387421199425,360.99049423217775,1121.5419549560547
53,-1491.5296173944566,359.405615234375,1124.6719012451172
54,-1391.6157309672496,359.6380270385742,1027.9675415039062
55,-1600.914088648178,357.16593841552736,1090.7335816192626
56,-1384.6698259057653,355.9936686706543,1069.0101721191406
57,-1472.1128876083962,353.4887107849121,1004.4953201293945
58,-1487.0798482184368,352.0314959716797,994.3790594482422
59,-1596.561744812701,350.2154797363281,986.4796519470215
