Episode,Reward,Actor Loss,Critic Loss
1,-1197.4691282427339,-0.02529547343030572,19.220072536468507
2,-1501.9333087649625,0.863103403672576,58.757797737121585
3,-1474.16322993411,3.3640004527568816,60.97246656417847
4,-1373.7438720215134,6.333834512233734,57.05219223022461
5,-1645.297036380762,9.696002380847931,53.27941864013672
6,-1702.5781750178319,13.591862726211549,51.276407394409176
7,-1875.0900423636424,18.10025155544281,52.25393455505371
8,-1849.9373632839404,22.727458267211915,53.99590280532837
9,-1671.855196916844,28.514217796325685,54.61054592132568
10,-1735.2154871117887,34.94355122566223,57.2480757522583
11,-1754.7652309206444,42.6587996673584,62.796816215515136
12,-1696.3173111743463,51.716043071746824,70.01259841918946
13,-1688.6531706138308,61.58068449020386,75.17033735275268
14,-1718.1761074817543,72.97086532592773,85.03373567581177
15,-1758.2546067584121,84.93636470794678,107.69891164779663
16,-1583.7834136159468,97.81708599090577,126.91382942199706
17,-1632.6634645322736,112.67355319976807,141.39782356262208
18,-1447.3055818449584,128.2806480407715,157.240002117157
19,-1421.268205439211,145.10303764343263,192.93897998809814
20,-1555.2557974588349,162.4233550262451,218.80793746948243
21,-1486.359851388557,180.1405793762207,278.1878371047974
22,-1356.28428391348,197.99397178649903,329.78405349731446
23,-1484.2081217153936,216.08951370239257,334.7468716430664
24,-1524.4833570286805,235.85724319458006,421.9918326187134
25,-1489.99593977776,256.10663467407227,543.255693321228
26,-1501.9288825599656,270.81899368286133,575.3776299285888
27,-1507.8667224360267,283.72172790527344,678.9755584716797
28,-1493.9726330277656,294.97134628295896,595.105288772583
29,-1465.7030033150625,304.6316534423828,720.8378052520752
30,-1402.5134114694863,312.32768188476564,783.5625849151611
31,-1397.565697177288,316.9282238769531,814.1071633911133
32,-1437.3556078803747,322.6407244873047,939.6829541778565
33,-1377.7647105439187,327.01170501708987,753.9071326446533
34,-1447.0295013344266,333.0804725646973,861.0365289306641
35,-1397.7722991000144,336.32046600341795,887.0645550537109
36,-1448.8954988962453,339.7704356384277,902.5848072052001
37,-1474.1827700991166,343.0228875732422,840.6416289520264
38,-1466.8048159288346,346.4867842102051,916.3813171386719
39,-1482.227754310107,349.1192465209961,921.399691619873
40,-1400.4700219669942,354.4941569519043,941.4363882446289
41,-1439.9529341886853,358.96533462524417,916.2498740386962
42,-1435.374238873558,365.4385836791992,949.9412310028076
43,-1422.6178490062787,369.7615428161621,997.5181903457642
44,-1423.3678214385848,374.6301481628418,899.0893076324463
45,-1356.975418273147,379.31937362670897,1053.2912084198
46,-1345.8446838964976,384.33107528686526,966.3934923553467
47,-1453.9071388044683,384.8864358520508,1085.3332337188722
48,-1430.8407017899208,388.3904736328125,1068.0687845611571
49,-1460.3181450687375,390.7538203430176,1083.0645698547364
50,-1342.651337096803,394.9813690185547,986.9186991882324
51,-1446.9103660886399,399.800643157959,977.5441048431396
52,-1358.797204895931,402.34204833984376,1203.469546432495
53,-1407.711498113854,401.399835357666,1031.6949992370605
54,-1544.0371811247435,403.7271548461914,1096.54146484375
55,-1379.923106504694,404.81678649902346,1028.0482621765136
56,-1568.8938096605668,404.47292739868163,1073.28062789917
57,-1208.2961183262526,405.90502548217773,1215.4567082977294
58,-1584.12680665742,403.6748013305664,1125.9354671478272
59,-1579.782828651461,403.7531143188477,1122.8911680603028
60,-1453.7011069580449,405.5389527893066,863.7321461486816
61,-1431.908597552134,405.5331399536133,969.4224617767334
62,-1203.87494760881,404.2283821105957,1175.3479795837402
63,-1596.9908847837687,402.1143794250488,1055.100858001709
64,-1584.2602419332418,401.0648876953125,1025.635243988037
65,-1599.896257838494,401.35510101318357,994.7903212738037
66,-1396.3236716306424,399.05883941650393,1062.7452846527099
67,-1373.2347917487637,396.6332205200195,1117.1403772735596
68,-1490.863044927597,397.2904736328125,916.1527308654785
