Episode,Reward,Actor Loss,Critic Loss
1,-1179.4419069370822,0.19028098836541177,17.49146062850952
2,-1515.4803625015818,1.1844956916570664,51.367469501495364
3,-1554.8888253941388,3.4038965207338334,59.84803888320923
4,-1510.6274131089872,8.07946162223816,59.70710557937622
5,-1582.2162079517386,16.55507609844208,60.41768472671509
6,-1566.7055101527276,30.98145669937134,61.91662122726441
7,-1522.779172856974,45.549462985992434,59.54318141937256
8,-1594.5495266346122,54.53942472457886,65.24474542617799
9,-1704.0160102880789,61.605243091583255,63.34483762741089
10,-1549.1442205568956,68.10468257904053,75.76072374343872
11,-1521.4630263757128,73.31220737457275,75.99189151763916
12,-1513.2525433795718,80.43176528930664,96.83557565689087
13,-1520.7588587772198,89.57749374389648,101.06055393218995
14,-1649.607541452218,100.86371360778809,122.48779182434082
15,-1481.9762886738954,112.95517024993896,148.34752880096437
16,-1569.514565066752,126.61332904815674,168.31473550796508
17,-1741.6925320203736,142.31835231781005,208.42609256744385
18,-1481.3022628789677,160.98670112609864,216.52266269683838
19,-1428.4460293272782,180.51305969238283,284.47084491729737
20,-1624.786574737547,201.70652236938477,325.0912217712402
21,-1635.5762471477142,223.04169494628906,396.22753002166746
22,-1498.6156930748728,247.29137329101562,479.2571760559082
23,-1468.6333760301716,267.24588912963867,531.1803728485107
24,-1387.2251451175478,286.8688563537598,634.2595848083496
25,-1443.9169256029677,305.00434280395507,689.8931127929687
26,-1440.0577480547543,320.96259201049804,756.0930228424072
27,-1343.7426736027319,335.4003450012207,770.2211933135986
28,-949.2830258610968,347.0269404602051,843.6103569030762
29,-1472.1555199156826,356.0193020629883,920.6394242095947
30,-1515.2057451407368,363.8920695495606,1026.6210733032226
31,-1443.542142127629,366.8715327453613,1229.1366525268554
32,-1561.8088980517598,363.872227935791,1211.0351744842528
33,-1563.4132250283028,364.30010986328125,1128.0382139587402
34,-1444.4073542631647,364.7786868286133,1197.8238174438477
35,-1546.111836508586,368.15782287597654,1140.3617854309082
36,-1517.209676881977,371.91074447631837,1164.950651550293
37,-1397.2939190979014,376.2345832824707,1239.5126705932616
38,-1450.3732921398655,377.9735888671875,1268.9055368041993
39,-1588.5589846186692,383.665821685791,1283.4981153869628
40,-1575.4798707873172,386.05063598632813,1491.642415008545
41,-1562.604789032824,387.3804315185547,1532.0437077331544
42,-1274.6172348941836,387.63696487426756,1429.239802093506
43,-1543.8654501288636,387.74131515502927,1607.1535006713866
44,-1591.679409910828,385.5012013244629,1510.2853727722168
45,-1544.685582207337,390.16439010620115,1506.2395486450196
46,-1588.895652923655,389.96074417114255,1541.2286622619629
47,-1592.2096273354637,388.81795288085937,1621.7786949157714
48,-1555.5926149402765,390.35846435546875,1726.8449095153808
49,-1333.0249731167423,387.47494674682616,1583.9159852600098
50,-1258.84024568683,383.17615600585935,1532.6366235351563
51,-1304.3908973775929,378.9010894775391,1581.8793054199218
52,-1310.433737265189,375.3861962890625,1452.2551794433593
53,-1242.2242985544422,372.9626705932617,1346.657799987793
54,-1225.4561459755282,369.19386825561526,1298.8286488342285
55,-1345.8433592353065,365.42891860961913,1189.8539851379394
56,-1382.1059010968022,362.80852569580077,1258.4178213500977
57,-901.8480277622697,358.0158251953125,1363.7113322448731
58,-1406.8144579511252,352.83235717773437,1112.0853129577636
59,-1374.9313465912858,350.2232536315918,1090.8402040100098
60,-1305.6195270621718,347.70844207763673,1000.7850736236572
61,-1211.5568719925939,344.78662002563476,1034.6769680786133
62,-920.038965380531,340.1461457824707,1069.7459190368652
63,-1031.70341154316,334.85092681884765,909.8871704864501
64,-1043.8071476420037,330.4120123291016,839.9647451019287
65,-843.8182750221383,327.41774642944335,772.339881439209
66,-751.1997287476289,325.57533935546877,652.612375869751
67,-749.5730421982515,323.5194598388672,733.7877459335327
68,-1270.0655018069272,319.8932655334473,642.9194061660767
69,-1511.5511344774204,314.9309413146973,741.1212816429138
70,-963.435772734974,312.10894256591797,692.4618155288696
71,-1062.2159893815815,310.32349670410156,488.745629901886
72,-1135.4656419801393,310.91601135253904,593.6193673896789
73,-1662.5102312570143,307.5471363830566,551.5311077308655
74,-1438.6996919010164,308.1645071411133,497.4877707099915
75,-1448.5062209075024,308.4972476196289,499.63048110961915
76,-1186.6294901367276,309.3407666015625,535.8829077720642
77,-1195.2255220426066,310.8051290893555,548.9808347702026
78,-1492.705676847885,313.63563796997073,502.22815901756286
79,-1301.0288058529388,317.59954788208006,461.32619745254516
80,-1503.2725607933153,320.1652508544922,551.6988787555695
81,-1183.421146878237,324.3853407287598,495.19954871177674
82,-1408.8510669517657,328.836854095459,497.8676634979248
83,-1423.2080357856835,332.2593246459961,635.928441476822
84,-1175.3193026673725,335.1205751037598,595.468979101181
85,-1578.6399599312913,337.8513034057617,591.3770360851288
86,-1116.8587352746927,340.615891418457,623.9936184120178
87,-1218.230954482413,345.0594741821289,544.2765563106536
88,-1585.4404375034123,348.49129959106443,569.1681656455994
89,-1317.4476518067868,355.06189117431643,583.2874485778808
90,-1076.7231766950595,356.7320935058594,720.1710406970977
91,-1173.7736683761275,358.11079116821287,567.8704578685761
92,-1424.3869961253622,359.85875259399415,604.1079043769837
93,-1221.6086896419558,360.96850692749024,711.5935796165467
94,-1462.6031110876518,360.59875640869143,621.6030249691009
95,-1065.776921212084,360.29920318603513,731.6095539474487
96,-1167.24639358144,358.21275482177737,657.2611882019042
97,-1198.1156271200384,359.51146240234374,622.1360734462738
98,-1005.8575114846453,358.6332339477539,637.242348394394
99,-1184.170564961497,358.0529393005371,601.1234011650085
100,-1031.3406896556787,357.4177281188965,711.072775402069
101,-1000.1982995547479,354.8082568359375,662.753102941513
102,-1122.8831671637745,352.8671821594238,679.2035228443145
103,-1073.360854980954,350.24066772460935,636.7207961750031
104,-1057.8107940589412,349.83949539184573,606.5788381385803
105,-1098.9821331970477,350.34768173217776,528.9089238548279
106,-1135.3838984736967,350.0151094055176,622.6994211864471
107,-1059.8093921075208,348.86440475463866,660.5755450248719
