Episode,Reward,Actor Loss,Critic Loss
1,-969.8749945603603,-0.023040518028719818,15.04277889251709
2,-1158.3465912537274,0.40690685105510055,38.39863284111023
3,-1587.0629141654751,2.4539232236146926,52.61167589187622
4,-1577.1089411549278,7.504706761837006,59.34845811843872
5,-1586.303125792627,13.61682873249054,54.695359554290775
6,-1821.4156505567532,18.51307960987091,52.19625696182251
7,-1832.1108848038546,23.552692670822143,54.60946308135986
8,-1783.5520298481472,29.721002712249756,58.081207847595216
9,-1847.0221782557412,36.32044140815735,62.69577154159546
10,-1853.5139644305555,43.86904500961304,72.23720029830933
11,-1677.5102520990706,52.87238252639771,79.44729627609253
12,-1540.7966464663955,63.27565420150757,90.64163972854614
13,-1514.8232597604492,73.54554971694947,111.11331113815308
14,-1723.8812100555579,85.20555458068847,129.80914234161378
15,-1626.2199095719827,97.84042079925537,135.08902503967286
16,-1640.6785393806456,112.8298532485962,161.51480087280274
17,-1773.727215411119,130.99401683807372,230.23285900115968
18,-1586.5399632634694,149.86051803588867,252.7215884399414
19,-1594.6549484516934,170.13076446533202,278.85689979553223
20,-1443.5973237281805,192.06573844909667,388.3027695846558
21,-1483.6503105958086,212.6449752807617,458.05693313598636
22,-1369.6825349645499,233.22110137939453,492.3192935943604
23,-1294.0074541367621,253.54805335998535,597.6522366333007
24,-1407.1690340472699,272.6719842529297,686.3647869110107
25,-1277.7187597800964,290.1418324279785,803.5173254394531
26,-1173.9551724579853,300.81182846069333,808.2008926391602
27,-1230.7207244670312,310.5207183837891,886.5149407958984
28,-1136.0383558920514,315.7302932739258,967.5232457733155
29,-1183.0397177479053,315.7525158691406,1035.0858148193358
30,-1056.4912268643702,315.42564224243165,996.0914123535156
31,-1009.7677829982472,315.0586654663086,1088.5099212646485
32,-1100.3505106771388,312.2061737060547,1066.737667694092
33,-1157.2771464537086,309.32738479614255,1063.6048017883302
34,-1064.9232315645197,307.8675717163086,981.3093962097169
35,-1154.3728329506416,306.5081625366211,886.8479151916504
36,-1428.7559221200445,303.978416595459,935.8585568237305
37,-1170.3550735408853,298.76403427124023,890.7395939636231
38,-1146.7700643895307,293.4219854736328,903.9898059082032
39,-1154.4891142715114,288.42309204101565,805.2936669158936
40,-1202.0973846006348,283.5485707092285,793.1477730560302
41,-1262.9754953753868,277.8812519836426,763.9080332946777
42,-1370.1994971829188,271.9619608306885,693.2169105529786
43,-1508.6662226250423,266.6151276397705,646.9684351348877
44,-1267.6821320151817,262.35247978210447,610.5427256011963
45,-1174.437560475506,258.74030921936037,644.0309718322754
46,-1314.9954724163758,257.6131114959717,482.36013236999514
47,-1175.2104843908821,257.1750466156006,550.0980116271973
48,-1355.6969901843177,255.7172942352295,546.2293598937988
49,-1495.8538350904898,255.10545455932618,506.71717025756834
50,-1375.5926062130318,254.75293792724608,555.1786156463623
51,-1320.4827842262423,255.14265228271483,546.8437661361694
52,-1164.3674381516894,255.55456352233887,532.8187870025635
53,-1327.2113327726931,257.97245643615724,550.1126858520507
54,-1143.4795332428203,259.62013122558596,544.6385752105713
55,-1098.0210835411062,262.7210961151123,526.4211478805541
56,-1163.1648565891162,265.546421585083,530.6206517410278
57,-1374.351011456864,267.6853860473633,554.710446548462
58,-1218.8621869846731,269.93193557739255,509.8552707672119
59,-1206.8649300492743,272.37716567993164,509.8342959594727
60,-1497.796711210098,274.2798626708984,526.663839302063
61,-1353.237719424129,277.00074813842775,545.9243594169617
62,-1258.1662719220485,277.6526091003418,520.495060005188
63,-1242.8484385036847,280.6994148254395,568.9257889938355
64,-1185.4518329157083,282.54105072021486,527.2598974227906
65,-1345.208699743031,286.9933036804199,405.1351354789734
66,-1113.8843305596367,292.43110137939453,560.6924841117859
67,-1087.6711683883668,294.18373718261716,475.8365140914917
68,-1192.017359601512,297.50631607055664,531.7139011955261
69,-1419.3697739024176,301.85888824462893,453.3520265007019
70,-1060.011635539344,305.9324092102051,577.2500397491455
71,-1166.1155870603764,304.5099868774414,546.664581489563
72,-1143.0644973659057,305.69550582885745,606.9897361946106
73,-1041.5156658422802,307.93499145507815,493.0937114143372
74,-939.2292851730099,313.3768293762207,526.1005550575256
75,-833.285429679409,312.6837498474121,619.3831406784058
76,-1295.868523896784,313.61188369750977,553.5754206657409
77,-975.2591372474801,317.4282398986816,522.238780632019
78,-765.8833709659228,320.2538850402832,517.0300227546692
79,-1413.0010217281529,324.20095748901366,541.7879721164703
80,-1370.4113300457552,326.6348806762695,700.0411567497254
81,-1274.2068584854653,328.44572662353517,567.3815020179749
82,-1292.7498023119406,332.2191285705566,588.9453918838501
83,-1055.6310848885107,335.4027821350098,493.8906260871887
84,-801.7577876662043,338.9239094543457,572.1163062763214
85,-947.2507527975324,339.6949237060547,700.6923203277588
86,-987.3307433198075,339.8994610595703,606.171899805069
