Episode,Reward,Actor Loss,Critic Loss
1,-1055.0165800231155,-0.09908545710146427,15.175196657180786
2,-1545.9417853910195,0.4250612024881411,46.65358407974243
3,-1578.2999605086848,2.391232523918152,48.43849880218506
4,-1749.7539964459168,4.685952197313309,45.25232357025146
5,-1756.7058426525145,6.826794261932373,42.20133304595947
6,-1805.5454472444812,9.453592929840088,39.16508390426636
7,-1693.2489493123885,12.496231679916383,36.63775526046753
8,-1673.2731044438287,15.985558795928956,33.747952709197996
9,-1671.5931527962991,19.89735318183899,31.368195028305053
10,-1728.3157805554915,24.202094507217407,30.23352732658386
11,-1693.4342808064087,29.082038049697875,29.88354959487915
12,-1874.5634632721858,34.52693163871765,29.55034972190857
13,-1852.6501490783526,40.590244884490964,30.792300481796264
14,-1586.4421808188717,47.16094022750855,32.14380767822266
15,-1614.261828525537,54.403148078918456,31.665617666244508
16,-1730.3973565661474,62.252369251251224,34.76743628978729
17,-1531.0295311139623,70.58993709564209,48.0767578458786
18,-1500.551636813239,79.52537250518799,55.48772071838379
19,-1668.9936393104613,88.38073764801025,61.21205921649933
20,-1497.5393585417492,98.13617572784423,72.99325644493103
21,-1482.2577474914222,107.47131271362305,74.47289946556091
22,-1579.875988488189,117.2034298324585,92.5778462600708
23,-1336.7114861095486,126.48715755462646,103.6518149471283
24,-1438.3343223170762,136.2143557357788,128.19117210388183
25,-1413.2409632952588,145.15477729797362,160.9036419582367
26,-1289.287008925312,153.87340156555175,152.18259061813353
27,-1426.7559180803094,162.11593711853027,186.43709788322448
28,-1543.7279953414895,170.09114517211913,193.17609743118285
29,-1317.6757014642442,178.53228416442872,193.58353717803956
30,-1030.9039005230702,185.3365062713623,255.400879573822
31,-1296.4901093022293,191.76051277160644,263.48299043655396
32,-1410.8905304720595,197.67655403137206,282.7040790939331
33,-1349.37459432753,202.95376403808595,348.22363048553467
34,-1388.3198387330815,207.4978232574463,308.49042362213135
35,-1536.0400825420152,213.50970558166503,343.35391120910646
36,-1275.2364684812433,218.94634231567383,353.6714814758301
37,-1416.7083402907658,223.11084434509277,351.75598300933837
38,-1381.3967251308404,227.42545219421388,413.56414344787595
39,-1483.3534984826408,231.26231971740722,409.72942306518553
40,-1302.0033461613734,234.24700538635253,432.5810291671753
41,-1301.1886030776573,238.82099822998046,417.9020160293579
42,-1357.7167885273072,241.1216717529297,465.06424743652343
43,-1573.2765845802144,244.86736923217774,423.64873821258544
44,-1493.984841843949,249.58643508911132,402.3089210891724
45,-1548.5422534182399,252.70771865844728,488.19400699615477
46,-1341.117586617726,256.21284660339353,481.4922315597534
47,-1479.84564462799,258.99555061340334,468.863970413208
48,-1408.8665312901508,261.88611488342286,427.9886148071289
49,-1488.9717083091907,264.7601362609863,499.961240272522
50,-1440.6115537807527,266.43084007263184,528.6317487716675
51,-1545.1109044745717,267.9495991516113,455.8973522567749
52,-1440.7751875508768,269.67234985351564,532.8379228210449
53,-1417.7361292159217,271.5942639160156,472.2373748016357
54,-1513.3110530993167,272.661749420166,488.23662227630615
55,-1106.269420997618,273.80643463134766,500.68159286499025
56,-1500.689998344583,275.2241340637207,493.2178157043457
57,-1455.014760647726,276.2752212524414,494.0702107238769
58,-1323.0665066758088,277.0857974243164,575.779482383728
59,-1500.7533182268453,278.5671514892578,509.1002420425415
60,-1592.8960396659284,279.2167385864258,551.3231642532348
61,-1406.4335882035264,281.2539657592773,404.50412548065185
62,-1547.8288989416205,282.8058818054199,448.7093470001221
63,-1436.2351521132637,284.57386428833007,488.68602088928225
64,-1243.1940029770071,285.9280940246582,471.292006893158
65,-1149.43028855374,287.13536224365237,478.0306266784668
66,-1508.5361472680681,288.5287504577637,485.6393482398987
67,-1451.0921404391433,289.99047927856446,495.37365797042844
68,-1022.9819587400431,291.71778732299805,493.2200183868408
69,-1268.1907696152925,292.8531278991699,475.2256126594543
70,-1586.412083114852,294.67579513549805,566.7082765960694
71,-1264.8522630838902,296.4357006835937,525.7040384483338
72,-1191.7196052557467,297.4159979248047,476.25873542785644
73,-1194.8194413211006,299.37409240722656,476.37583028793335
74,-1250.705463773051,300.37403427124025,566.2585097885132
75,-1237.6857271836252,301.96276611328125,526.240806093216
76,-1283.5216387815576,304.05069641113283,498.7105567550659
77,-1392.7137374943316,305.2105743408203,481.7690620994568
78,-1113.2413215458205,306.7604447937012,533.9623894882202
79,-1241.2097124029408,307.88638793945313,567.6059954071045
80,-1023.8020536620324,308.9092655944824,513.3093406581879
81,-1379.0065869146335,310.45890884399415,532.6866946125031
