Episode,Reward,Actor Loss,Critic Loss
1,-1204.6404569743247,0.05540394006296992,16.14501070022583
2,-1096.4934618942432,0.637932939901948,45.46953935623169
3,-1467.24415274606,2.3687991869449614,47.47368000030517
4,-1200.4203774867237,5.964909369945526,50.50872352600098
5,-1776.2983129399638,10.083189136981964,51.81147207260132
6,-1862.5084442845764,13.690765886306762,54.87917459487915
7,-1585.034763086531,18.168770055770874,55.7593522644043
8,-1798.1398887409641,23.04475944519043,58.25630853652954
9,-1857.7517477961685,29.009041118621827,62.01794124603271
10,-1706.8410155880015,35.9908416557312,67.1570308303833
11,-1636.7666015247705,44.22259189605713,75.32319564819336
12,-1636.7993635757248,54.14324878692627,83.33241930007935
13,-1582.7372610923928,65.43745632171631,96.02636325836181
14,-1579.3628240383273,77.39713432312011,113.42435474395752
15,-1727.5700488538591,91.33910793304443,140.92183910369874
16,-1680.489044941367,105.47417430877685,166.7125163269043
17,-1525.6958748630097,121.4257968902588,189.1681056213379
18,-1578.9694338049999,137.27860038757325,234.81197681427003
19,-1650.508881092272,153.9701432800293,314.10615196228025
20,-1576.5768967340282,170.49089836120606,365.31627853393553
21,-1423.7736101595053,187.09144119262695,335.0116469192505
22,-1585.9322861442308,206.13952423095702,396.63900440216065
23,-1572.84341595008,222.38184310913087,489.81473892211915
24,-1546.4799589473128,238.67005599975585,498.0503394317627
25,-1535.7624671164556,256.0845095062256,557.8823421478271
26,-1515.3578597327887,271.3973662567139,647.3191228485107
27,-1417.2470172955004,287.07469131469725,736.5447770690918
28,-1515.1456006098251,302.35850875854493,708.5623225402832
29,-1456.2213689520756,318.16324127197265,793.4235820770264
30,-1418.635239560129,333.0053129577637,908.9246243286133
31,-1603.5005764893529,343.6612651062012,936.0992332077026
32,-1518.8374651275155,355.15457244873045,946.3369561767578
33,-1338.3444702190895,366.33522384643555,990.0476173400879
34,-1406.2417923598164,377.6999494934082,983.5461254882813
35,-1389.7127049021335,385.33902420043944,1154.8594952392577
36,-1457.2853254843542,393.97069763183595,1207.7924181365968
37,-1380.2556886387847,398.22243041992186,1351.2783679962158
38,-1281.9572513893247,401.6795234680176,1150.073793029785
39,-1453.3893860785613,406.9422889709473,1192.3029064178468
40,-1433.2310020606405,410.4888453674316,1285.9785009765626
41,-1400.4921560307582,413.4176382446289,1202.3441957855225
42,-1409.4112157399163,418.02184692382815,1134.011963043213
43,-1403.4465469602305,421.48257019042967,1276.4426252746582
44,-1434.4320754128155,421.09233032226564,1108.5024327850342
45,-1444.9021959763877,420.88357833862307,1157.1150218200683
46,-1422.7837416630607,419.3686730957031,1211.552426147461
47,-1418.8654820709864,412.59342071533206,1214.388112564087
48,-1380.6848702536781,406.9186668395996,1088.1195310974122
49,-1446.7207819291548,402.4617678833008,1191.9315013885498
