Episode,Reward,Actor Loss,Critic Loss
1,-1351.9013781333247,-0.03775940578430891,18.220897789001466
2,-1508.3124287782612,0.2699715851433575,52.388236904144286
3,-1260.3908139352354,1.3600653570890426,50.67273838043213
4,-1378.463180808283,3.3821397435665133,44.96567293167114
5,-1660.4639294182773,6.124501931667328,41.62406742095947
6,-1506.2933436642068,10.061040215492248,40.221896171569824
7,-1055.896179505923,15.886214809417725,38.31198532104492
8,-1552.5289859462525,26.772819566726685,38.41006797790527
9,-1314.112095579585,40.37420409202576,43.75555337905884
10,-1606.9243956483203,53.11383636474609,53.61592441558838
11,-1303.2052160951148,67.45295864105225,73.09552316665649
12,-1368.890819618134,81.45785659790039,97.23952735900879
13,-1721.0286176990764,93.41969268798829,122.01888805389405
14,-1712.9053085375322,105.44873958587647,155.6333194732666
15,-1569.9913707588762,117.51304271697998,186.40985122680664
16,-1686.0966806495721,129.5742329788208,213.5121443939209
17,-1564.79144549783,141.97756759643553,246.95207302093505
18,-1468.6265912519505,153.8014594268799,280.73124500274656
19,-1535.0782791289564,166.84609008789062,310.10329280853273
20,-1635.0312281394,177.03493041992186,331.6752731704712
21,-1514.8990376999861,189.9051286315918,365.5266632461548
22,-1527.631068539201,200.95654106140137,386.9938037109375
23,-1580.2568510887102,211.4576611328125,441.19507774353025
24,-1554.3462558811405,223.8559825897217,482.2400820159912
25,-1513.4131147249213,235.57881385803222,540.8399769592285
26,-1564.1770827504208,248.052670211792,558.0754509735108
27,-1575.2935467276363,260.5412725830078,635.3575595855713
28,-1583.638615076229,271.088791809082,655.1694607543945
29,-1539.3692769112972,276.36513191223145,634.1363401031495
30,-1452.5199604350084,281.93165466308596,626.2224044036865
31,-1438.38594277169,287.5431507873535,771.8131126403808
32,-1487.215061888897,292.07600952148437,739.9638707733154
33,-1566.9929529466403,295.78626373291013,796.9183187866211
34,-928.6589217210521,299.52895599365235,694.6457149505616
35,-1557.472110687281,302.9216775512695,814.3791731262207
36,-1521.7354538806385,305.71968978881836,791.6557263946534
37,-1532.423468197996,306.38570190429687,802.7780712890625
38,-1551.700832349644,307.75378219604494,680.9038901519775
39,-1621.0802610151945,309.87792678833006,783.0058377075195
40,-1618.5871338383665,310.7567500305176,747.263589553833
41,-1376.7667952011304,314.00430450439455,684.5942033386231
42,-1330.2674408290666,315.16895416259763,802.8792854309082
43,-1431.7681662929037,317.3866845703125,704.0884970092774
44,-1248.3606829919054,319.7432858276367,714.6617631530762
45,-1202.7175264604625,322.3506977844238,731.1824956130981
46,-1349.1627167795455,324.04623931884765,782.5996966934204
