Episode,loss
1,1031.7950253486633
2,3739.946771621704
3,4304.323394775391
4,4184.920640945435
5,4235.076391220093
6,4636.511407852173
7,4914.884459495544
8,6120.273365020752
9,8054.24479675293
10,11446.725690841675
11,15143.38126373291
12,22246.635120391846
13,32100.164947509766
14,38697.16633605957
15,44443.58834838867
16,52924.237785339355
17,60324.46397399902
18,74710.29641723633
19,70669.77005004883
20,82129.11470031738
21,86771.77082824707
22,84503.224609375
23,80865.20687866211
24,84490.63572692871
25,81014.5979309082
26,80398.56649780273
27,79548.15397644043
28,80960.67457580566
29,76296.6549987793
30,76698.39653015137
31,74237.04588317871
32,81054.08618164062
33,69005.70080566406
34,70680.90678405762
35,63946.899505615234
36,61597.77843475342
37,51176.536682128906
38,48501.61095428467
39,54263.212242126465
40,50821.262939453125
41,43566.28633117676
42,40884.677474975586
43,40834.74728393555
44,34739.02349090576
45,36716.609996795654
46,35505.00786972046
47,32172.53094100952
48,27240.210582733154
49,29580.70343017578
50,29230.51515197754
51,31615.228748321533
52,24104.653518676758
53,23277.117179870605
54,24296.76481628418
55,23217.039308547974
56,28243.131191253662
57,22300.5528755188
58,24399.91543197632
59,21260.61576271057
60,23217.578353881836
61,24358.509393692017
62,28396.41286468506
63,28524.189582824707
64,27687.55436897278
65,27852.10538291931
66,26409.19054222107
67,27426.8995552063
68,25748.157234191895
69,27423.234749794006
70,25259.41822052002
71,22703.135665893555
72,22919.740268707275
73,24626.86605834961
74,22752.61513900757
75,24302.397815704346
76,26113.09024810791
77,24672.16323852539
78,23763.320655822754
79,22857.08294582367
80,25616.733534812927
81,24011.065572738647
82,22576.969667434692
83,23677.491976737976
84,20914.626342773438
85,24806.72111606598
86,22013.955746650696
87,21682.609413146973
88,21087.922456741333
89,23688.44944858551
90,21300.32503604889
91,22352.403799057007
92,20096.61795425415
93,20727.7985124588
94,20966.465785980225
95,21319.396543502808
96,22057.905752182007
97,18928.303213119507
98,26225.041880607605
99,20436.877833366394
100,20042.50158214569
101,19320.97021961212
102,18555.361985206604
103,19466.306832313538
104,22554.499004364014
105,17998.157130241394
106,20078.022562026978
107,18697.036164283752
108,16715.9917011261
109,19374.17729663849
110,16361.340978622437
111,16895.644783973694
112,18790.689527511597
113,18391.104640483856
114,18160.433074951172
115,16163.733366012573
116,19940.957753181458
117,17816.341333389282
118,17388.904565811157
119,17199.774720191956
120,17134.669182777405
121,16325.94038438797
122,15821.324292182922
123,17777.987394809723
124,18372.96179819107
125,15844.051330566406
126,16943.542044639587
127,18671.704948425293
128,16845.22462797165
129,16206.329793930054
130,16640.246961593628
131,16434.434663295746
132,15897.523178100586
133,16507.656559944153
134,15748.503099441528
135,15810.870098114014
136,19428.81121635437
137,15371.012445926666
138,12855.994407653809
139,15812.991257667542
140,16194.513892173767
141,16900.688486099243
142,14092.563979148865
143,16249.140855789185
144,17645.03671360016
145,15524.344407081604
146,14919.438652992249
147,17086.679224014282
148,14364.038131713867
149,14853.431238174438
150,15165.395079612732
151,14239.72767162323
152,16752.888081550598
153,15576.303146362305
154,14258.791934967041
155,17682.890824317932
156,15901.578653812408
157,13074.147721290588
158,14366.6502866745
159,15500.584603309631
160,14959.969436645508
161,15833.796910762787
162,13674.843052864075
163,14740.348645210266
164,14583.380626678467
165,14469.813861846924
166,13656.101026535034
167,16474.77323961258
168,14584.611821174622
169,13694.270208358765
170,15559.796683311462
171,15860.500173091888
172,16049.398554801941
173,15183.527931690216
174,14821.55600643158
175,13357.5883436203
176,13085.565442085266
177,17830.99490070343
178,13427.933547019958
179,13157.980994224548
180,13612.824789047241
181,14871.08821439743
182,13812.875015258789
183,13957.753596305847
184,13897.64686870575
185,13647.15356349945
186,14514.473060131073
187,15617.13009262085
188,13372.407977104187
189,15037.822841644287
190,13495.154643058777
191,15850.979755401611
192,14737.005643844604
193,14488.085829734802
194,12565.609467029572
195,15873.289299488068
196,15867.274503707886
197,14042.676518917084
198,13354.465585708618
199,14342.46673822403
200,12213.610508918762
201,13621.887464523315
202,14696.29681444168
203,13405.31964302063
204,13523.004274845123
205,12235.044110298157
206,12923.576090812683
207,14133.018489837646
208,12450.510407924652
209,14071.785117149353
210,12031.741886615753
211,12918.525690078735
212,11710.437485694885
213,14261.989184379578
214,12617.077853679657
215,15852.611676216125
216,15266.137599945068
217,12651.70285320282
218,11625.451803684235
219,13651.377900123596
220,13528.125374794006
221,12157.939113140106
222,12647.340430259705
223,12090.107132434845
224,13098.91879606247
225,12465.047325134277
226,13219.498620986938
227,12554.26905632019
228,11360.498661518097
229,13016.142434120178
230,13976.453922748566
231,11242.970646381378
232,11479.935872554779
233,10747.518527030945
234,12099.941687107086
235,12902.858261585236
236,10997.80006313324
237,12019.550841331482
238,13705.253545284271
239,11719.15024471283
240,11817.301028251648
241,12684.639109611511
242,12442.684133529663
243,11552.21750831604
244,11449.411168575287
245,14567.678524494171
246,14282.76581954956
247,13054.335667610168
248,11957.668457984924
249,12257.535202026367
250,11741.989773273468
251,13416.530076026917
252,12020.52523136139
253,14222.239104270935
254,14535.353650093079
255,15067.69755077362
256,14187.277348518372
257,13351.033824920654
258,12319.600111961365
259,13853.80736207962
260,14991.887607574463
261,12477.948655128479
262,13826.777461528778
263,14172.621176719666
264,14885.75498008728
265,13451.114847183228
266,13681.27987909317
267,13984.416244506836
268,14662.08141708374
269,14736.719390392303
270,12333.549057006836
271,13692.644245147705
272,14484.984501838684
273,14375.30006980896
274,13097.678471565247
275,13735.604897499084
276,13773.526714324951
277,13488.163268566132
278,14337.502279281616
279,13696.732181072235
280,14292.596302509308
281,14844.121890068054
282,12820.118365764618
283,12475.575582027435
284,11649.239036560059
285,12941.645284175873
286,11619.815854549408
287,12117.92650794983
288,13324.5107254982
289,13991.586112976074
290,14233.216894626617
291,13439.811357498169
292,13870.53228855133
293,10663.046350002289
294,14629.674153804779
295,13660.645055294037
296,12531.515701293945
297,11484.906605243683
298,12939.869323730469
299,14670.449820518494
300,12595.3212018013
301,11696.350128173828
302,12430.433183670044
303,11544.94338464737
304,10855.04506444931
305,13848.6392121315
306,10975.43155670166
307,13470.751214027405
308,11629.02799320221
309,12225.201789855957
310,11458.384922027588
311,11490.278442382812
312,11769.315757274628
313,11258.319266319275
314,12119.316653251648
315,10407.144283294678
316,11871.118832111359
317,12277.081207752228
318,11151.08949804306
319,10912.149735450745
320,12378.522624492645
321,11929.32359790802
322,13519.850995063782
323,10592.231744289398
324,12625.402148246765
325,11795.922400951385
326,9875.855774402618
327,10802.025060653687
328,12777.918105602264
329,12651.136937618256
330,12823.03166437149
331,11100.821973323822
332,12045.30358505249
333,11778.620775222778
334,11526.448979377747
335,14111.224345684052
336,10726.673660755157
337,11991.37058544159
338,14091.440020084381
339,12615.867198944092
340,12561.348380088806
341,12789.854979038239
342,13788.947861671448
343,12545.191171169281
344,13751.723531723022
345,12728.49018907547
346,10924.29261302948
347,12210.960937976837
348,12349.500246047974
349,10325.958316802979
350,11773.659430503845
351,11674.252137184143
352,12866.579420089722
353,14504.200025081635
354,11968.274421691895
355,14332.87066745758
356,13293.372324466705
357,12132.904646396637
358,14610.181236743927
359,12545.639795303345
360,12805.289737701416
361,11273.37270450592
362,13692.746553897858
363,13791.180782318115
364,13714.300794124603
365,18699.18737268448
366,14982.80181837082
367,14881.214859485626
368,15032.041805267334
369,14372.401657104492
370,15223.146492958069
371,14437.916747570038
372,12422.54029750824
373,13904.772188186646
374,14230.896010398865
375,14351.563808441162
376,14185.811492919922
377,14183.416272163391
378,14991.894540309906
379,14561.73831319809
380,14222.564187049866
381,14544.93042087555
382,16910.15378856659
383,15156.297107219696
384,17653.65950679779
385,15985.476552009583
386,15096.13589334488
387,17025.059131145477
388,14790.874189376831
389,14450.08126449585
390,15527.286720275879
391,14037.186565876007
392,15814.006840705872
393,14856.700532913208
394,14763.587099075317
395,14137.445207118988
396,16627.392554283142
397,15226.375704288483
398,14379.210875988007
399,16726.049561023712
400,15517.128415584564
401,13934.725811481476
402,15748.190561294556
403,13662.838036060333
404,16215.163698196411
405,16958.493119239807
406,15527.191869735718
407,13424.791158676147
408,14865.648219585419
409,14542.469521522522
410,14951.123289585114
411,13312.808239936829
412,17153.602525234222
413,15410.75303030014
414,15436.18654680252
415,12965.081676483154
416,13261.675127983093
417,15453.151596546173
418,15034.067148208618
419,14714.844381332397
420,14757.038922786713
421,13821.737437725067
422,16903.624321460724
423,14332.709392547607
424,15263.668769836426
425,13868.359572410583
426,14000.987499713898
427,14785.785648822784
428,15085.381605625153
429,15905.318058490753
430,13631.340086460114
431,14241.761772632599
432,14348.696366786957
433,15514.77163553238
434,14629.63845872879
435,12237.970441818237
436,14982.605565071106
437,13273.903915405273
438,13117.597854614258
439,14697.51309299469
440,12642.50140094757
441,12399.912841796875
442,10903.229753494263
443,14302.893471240997
444,13656.23053073883
445,13010.366646289825
446,13596.054465770721
447,14060.117723464966
448,13089.104211330414
449,12618.012593269348
450,16215.239220619202
451,14327.769916057587
452,15422.358424186707
453,16851.512476444244
454,14305.641345977783
455,12132.320155143738
456,12663.052366733551
457,15153.526598930359
458,14499.471423625946
459,13139.679142475128
460,15866.775541305542
461,12762.802098274231
462,13199.7685379982
463,14495.67906999588
464,12793.657130241394
465,14378.756241321564
466,11800.352825164795
467,16340.428409576416
468,14820.19406414032
469,15725.75122642517
470,12936.650702476501
471,13101.353825569153
472,12784.296558856964
473,13603.077738285065
474,12681.126451015472
475,13011.86556339264
476,13658.12791633606
477,11364.952783584595
478,12159.117237091064
479,10542.209928512573
480,13305.58232498169
481,12355.997166633606
482,13772.924592018127
483,11705.840012550354
484,13414.115245819092
485,13670.979332447052
486,13067.21600818634
487,11443.969012260437
488,11908.578813552856
489,12663.104694843292
490,14696.896111488342
491,14500.366183280945
492,12456.085781097412
493,12251.49109697342
494,12641.143442630768
495,15085.315561294556
496,13888.476604938507
497,11164.374129772186
498,13862.301342964172
499,14534.782636642456
500,13006.408888816833
501,13148.945147514343
502,12520.534849643707
503,14277.051483154297
504,11458.552327632904
505,13332.71667098999
506,13765.239458560944
507,14602.762651443481
508,12114.018411636353
509,14253.730762004852
510,12707.734709739685
511,14600.75082540512
512,11530.869539260864
513,14542.31995010376
514,13032.998342990875
515,14314.601748943329
516,13932.60225057602
517,13812.884643554688
